speed_m_s,capillary_number,wet_thickness_landau_levich_m,dry_thickness_landau_levich_m,dry_thickness_evaporation_m,dry_thickness_governing_m,regime
5e-05,5e-06,2.93864e-08,6.34774e-09,4.3202e-07,4.3202e-07,evaporation
5.2128e-05,5.2128e-06,3.02144e-08,6.52659e-09,4.14384e-07,4.14384e-07,evaporation
5.43465e-05,5.43465e-06,3.10657e-08,6.71048e-09,3.97468e-07,3.97468e-07,evaporation
5.66595e-05,5.66595e-06,3.19409e-08,6.89955e-09,3.81242e-07,3.81242e-07,evaporation
5.90709e-05,5.90709e-06,3.28409e-08,7.09395e-09,3.65679e-07,3.65679e-07,evaporation
6.15849e-05,6.15849e-06,3.37662e-08,7.29383e-09,3.50751e-07,3.50751e-07,evaporation
6.42059e-05,6.42059e-06,3.47176e-08,7.49933e-09,3.36433e-07,3.36433e-07,evaporation
6.69384e-05,6.69384e-06,3.56957e-08,7.71063e-09,3.22699e-07,3.22699e-07,evaporation
6.97873e-05,6.97873e-06,3.67015e-08,7.92788e-09,3.09526e-07,3.09526e-07,evaporation
7.27574e-05,7.27574e-06,3.77356e-08,8.15125e-09,2.9689e-07,2.9689e-07,evaporation
7.58539e-05,7.58539e-06,3.87988e-08,8.38092e-09,2.84771e-07,2.84771e-07,evaporation
7.90822e-05,7.90822e-06,3.9892e-08,8.61705e-09,2.73146e-07,2.73146e-07,evaporation
8.24479e-05,8.24479e-06,4.10159e-08,8.85984e-09,2.61995e-07,2.61995e-07,evaporation
8.59568e-05,8.59568e-06,4.21716e-08,9.10947e-09,2.513e-07,2.513e-07,evaporation
8.96151e-05,8.96151e-06,4.33598e-08,9.36613e-09,2.41042e-07,2.41042e-07,evaporation
9.34291e-05,9.34291e-06,4.45814e-08,9.63003e-09,2.31202e-07,2.31202e-07,evaporation
9.74054e-05,9.74054e-06,4.58375e-08,9.90136e-09,2.21764e-07,2.21764e-07,evaporation
0.000101551,1.01551e-05,4.7129e-08,1.01803e-08,2.12711e-07,2.12711e-07,evaporation
0.000105873,1.05873e-05,4.84569e-08,1.04672e-08,2.04028e-07,2.04028e-07,evaporation
