speed_m_s,wet_thickness_m,dry_thickness_m,flow_rate_m3_s,capillary_number,reynolds_number,low_flow_limit_m,low_flow_margin,speed_margin,vacuum_min_pa,vacuum_max_pa,verdict,warning_codes
0.001,2e-07,4.3202e-08,1e-11,0.0001,9.66667e-05,1.44347e-07,1.38555,3305.05,-163.366,1036.63,marginal,VERY_THIN
0.001,2.18849e-07,4.72736e-08,1.09425e-11,0.0001,0.000105777,1.44347e-07,1.51613,3305.05,-200.664,999.336,operable,VERY_THIN
0.001,2.39475e-07,5.1729e-08,1.19738e-11,0.0001,0.000115746,1.44347e-07,1.65902,3305.05,-234.75,965.25,operable,VERY_THIN
0.001,2.62045e-07,5.66044e-08,1.31023e-11,0.0001,0.000126655,1.44347e-07,1.81538,3305.05,-265.901,934.099,operable,VERY_THIN
0.001,2.86742e-07,6.19392e-08,1.43371e-11,0.0001,0.000138592,1.44347e-07,1.98648,3305.05,-294.368,905.632,operable,VERY_THIN
0.001,3.13767e-07,6.77768e-08,1.56884e-11,0.0001,0.000151654,1.44347e-07,2.1737,3305.05,-320.384,879.616,operable,VERY_THIN
0.001,3.43339e-07,7.41646e-08,1.71669e-11,0.0001,0.000165947,1.44347e-07,2.37856,3305.05,-344.159,855.841,operable,VERY_THIN
0.001,3.75698e-07,8.11544e-08,1.87849e-11,0.0001,0.000181587,1.44347e-07,2.60274,3305.05,-365.887,834.113,operable,VERY_THIN
0.001,4.11106e-07,8.8803e-08,2.05553e-11,0.0001,0.000198701,1.44347e-07,2.84804,3305.05,-385.744,814.256,operable,VERY_THIN
0.001,4.49852e-07,9.71724e-08,2.24926e-11,0.0001,0.000217428,1.44347e-07,3.11646,3305.05,-403.89,796.11,operable,VERY_THIN
0.001,4.92249e-07,1.06331e-07,2.46125e-11,0.0001,0.00023792,1.44347e-07,3.41018,3305.05,-420.474,779.526,operable,VERY_THIN
0.001,5.38642e-07,1.16352e-07,2.69321e-11,0.0001,0.000260344,1.44347e-07,3.73158,3305.05,-435.629,764.371,operable,VERY_THIN
0.001,5.89408e-07,1.27318e-07,2.94704e-11,0.0001,0.000284881,1.44347e-07,4.08327,3305.05,-449.48,750.52,operable,VERY_THIN
0.001,6.44958e-07,1.39317e-07,3.22479e-11,0.0001,0.00031173,1.44347e-07,4.46811,3305.05,-462.138,737.862,operable,VERY_THIN
0.001,7.05744e-07,1.52448e-07,3.52872e-11,0.0001,0.00034111,1.44347e-07,4.88921,3305.05,-473.706,726.294,operable,VERY_THIN
0.001,7.72258e-07,1.66815e-07,3.86129e-11,0.0001,0.000373258,1.44347e-07,5.35001,3305.05,-484.278,715.722,operable,VERY_THIN
0.001,8.45042e-07,1.82537e-07,4.22521e-11,0.0001,0.000408437,1.44347e-07,5.85423,3305.05,-493.94,706.06,operable,VERY_THIN
0.001,9.24685e-07,1.99741e-07,4.62342e-11,0.0001,0.000446931,1.44347e-07,6.40598,3305.05,-502.771,697.229,operable,VERY_THIN
0.001,1.01183e-06,2.18566e-07,5.05917e-11,0.0001,0.000489053,1.44347e-07,7.00973,3305.05,-510.841,689.159,operable,VERY_THIN
